businessname,dbaname,address,city,state,zip,descript,dayphn_cleaned,latitude,longitude
AFC Zenshi @ Shaws #1208,,246 Border,East Boston,MA,02128,Eating & Drinking w/ Take Out,6172624688.0,42.37667473381117,-71.04025589699377
AFC Zenshi @Star Market #3577,,75 Spring,West Roxbury,MA,02132,Eating & Drinking w/ Take Out,6173270564.0,42.27871000013407,-71.16330000216672
Agavero Guac and Margs,,11 Broadway,South Boston,MA,02127,Eating & Drinking,6177524044.0,42.3424063937799,-71.05672043999976
Agganis Arena-FS,,925 Commonwealth,Boston,MA,02215,Eating & Drinking,6173587000.0,42.35216635174325,-71.11768033870285
Agganis Arena-Stand 1,,925 Commonwealth,Boston,MA,02215,Eating & Drinking w/ Take Out,6173587000.0,42.35216635174325,-71.11768033870285
Agganis Arena-Stand 2,,925 Commonwealth,Boston,MA,02215,Eating & Drinking w/ Take Out,6173587000.0,42.35216635174325,-71.11768033870285
Agganis Arena-Stand 3,,925 Commonwealth,Boston,MA,02215,Eating & Drinking w/ Take Out,6173587000.0,42.35216635174325,-71.11768033870285
Agganis Arena-Stand 4,,925 Commonwealth,Boston,MA,02215,Eating & Drinking w/ Take Out,6173587000.0,42.35216635174325,-71.11768033870285
Agganis Arena-Stand 5,,925 Commonwealth,Boston,MA,02215,Eating & Drinking w/ Take Out,6173587000.0,42.35216635174325,-71.11768033870285
Airist Boston @ Air France Lounge,,500 Terminal,East Boston,MA,02128,Eating & Drinking,7744569041.0,42.36990420124479,-71.01943927546833
Ajeen,,1219 Commonwealth,Allston,MA,02134,Eating & Drinking w/ Take Out,,42.35075508231867,-71.13087000863769
AK's Takeout,,1350 Tremont,Mission Hill,MA,02120,Eating & Drinking w/ Take Out,6175412457.0,42.33180537912831,-71.0930905025686
A K's Take Out & Delivery,,1427 Tremont,Mission Hill,MA,02120,Eating & Drinking w/ Take Out,6175410300.0,42.33185800016712,-71.09633300084923
Alamo Drafthouse,,23 Northern,Boston,MA,02210,Eating & Drinking w/ Take Out,,42.353425169987005,-71.0476118790756
Alcove,,131 Beverly,Boston,MA,02114,Eating & Drinking,7745268386.0,42.36703034454807,-71.06008608974878
AL DENTE RISTORANTE,,109 Salem,Boston,MA,02113,Eating & Drinking,6175230990.0,42.36421000057258,-71.0553600005196
ALEX PIZZA,,1252 Washington,Roxbury,MA,02118,Eating & Drinking w/ Take Out,6178339626.0,42.34230145075851,-71.06737856403372
ALEX'S CHIMIS,,358 CENTRE,JAMAICA PLAIN,MA,02130,Eating & Drinking,6175225201.0,42.32230390234235,-71.10755127180592
ALFREDO'S,,229 Brighton,Allston,MA,02134,Eating & Drinking w/ Take Out,6175628222.0,42.3536791188135,-71.1356698532365
ALFREDO'S ITALIAN KITCHEN,,243 Dorchester,South Boston,MA,02127,Eating & Drinking w/ Take Out,6174581231.0,42.33285505801853,-71.05131803697124
Ali Baba,,99A Cambridge,Charlestown,MA,02129,Eating & Drinking,6173986902.0,42.382540000107355,-71.0792000012387
Alibi,,215 Charles,Boston,MA,02114,Eating & Drinking,8572411144.0,42.362030354140245,-71.07036209744672
Ali's Uyghur Kitchen,,1 Brighton,Allston,MA,02134,Eating & Drinking w/ Take Out,5713856111.0,42.352411055760506,-71.12532952455528
All'Antico Vinaio,,565 Boylston,Boston,MA,02116,Eating & Drinking w/ Take Out,,42.3506540007236,-71.07636800028301
ALLIS ROTI + MEAT MARKET,,1188 Blue Hill,Mattapan,MA,02126,Eating & Drinking w/ Take Out,6172989850.0,42.283770000320025,-71.09129000212218
All Spice Restaurant,,41 Worcester,Roxbury,MA,02118,Eating & Drinking,6172665300.0,42.3358699998706,-71.07420000201827
Alma Cantina,,15 Union,Boston,MA,02108,Eating & Drinking,6178350438.0,42.36081860189342,-71.05671524947535
Alma Gaucha,,401 D,Boston,MA,02210,Eating & Drinking,6174204900.0,42.343592543707445,-71.04466693492783
Aloe Natural Acai $ Coffee Shop,,256 Marginal,East Boston,MA,02128,Eating & Drinking,8573919523.0,42.36425649799056,-71.03267228714992
Aloft Boston Seaport Hotel,,401 D,Boston,MA,02210,Eating & Drinking,6175301600.0,42.343592543707445,-71.04466693492783
Aloft Boston Seaport Hotel Refuel,,401 D,Boston,MA,02210,Eating & Drinking w/ Take Out,6175301600.0,42.343592543707445,-71.04466693492783
AL'S CAFÉ,,27 Dry Dock,Boston,MA,02210,Eating & Drinking w/ Take Out,6172811443.0,42.344273524601675,-71.02802345438896
Al's High Street Cafe,,176 High,Boston,MA,02110,Eating & Drinking w/ Take Out,9782211564.0,42.356668329142515,-71.0525564506071
Al's School Street Cafe,,27 School,Boston,MA,02108,Eating & Drinking w/ Take Out,9782211564.0,42.357719151851185,-71.05907051420638
Al's South Street Cafe,,179 Essex,Boston,MA,02111,Eating & Drinking w/ Take Out,6177205555.0,42.352067218998634,-71.05756747698803
Al's State Street Cafe,,112 State,Boston,MA,02109,Eating & Drinking w/ Take Out,6177205555.0,42.359282035196834,-71.0548727684754
Alta Strada/AM2-A03/29,,100 Terminal,East Boston,MA,02128,Eating & Drinking,3052678510.0,42.364539860564015,-71.02181743285618
Alumni 1,,2597 Beacon,Brighton,MA,02135,Eating & Drinking w/ Take Out,6175523307.0,42.33528927232475,-71.16749169530911
Alumni 2,,2597 Beacon,Brighton,MA,02135,Eating & Drinking w/ Take Out,6175523307.0,42.33528927232475,-71.16749169530911
Alumni 3,,2597 Beacon,Brighton,MA,02135,Eating & Drinking w/ Take Out,6175523307.0,42.33528927232475,-71.16749169530911
Alumni 4,,2597 Beacon,Brighton,MA,02135,Eating & Drinking w/ Take Out,6175523307.0,42.33528927232475,-71.16749169530911
Alumni 5,,2597 Beacon,Brighton,MA,02135,Eating & Drinking w/ Take Out,6175523307.0,42.33528927232475,-71.16749169530911
Al-Wadi Restaurant,,1249 VFW,West Roxbury,MA,02132,Eating & Drinking,6173233236.0,42.27724000004449,-71.17261000104916
AMA,,30 Western,Allston,MA,02134,Eating & Drinking,,42.36361843600092,-71.12181988860992
Amber Road,,100 Federal,Boston,MA,02110,Eating & Drinking,6178699018.0,42.354770000088834,-71.0561300019333
AMC Causeway at the Garden 13,,60 Causeway,Boston,MA,02114,Eating & Drinking w/ Take Out,6172754104.0,42.3653920556944,-71.06217783746371
AMC South Bay 12 (Concession),,21 District,Dorchester,MA,02125,Eating & Drinking w/ Take Out,,42.32572375144032,-71.0622261670595
AMC South Bay 12 (MacGuffins),,21 District,Dorchester,MA,02125,Eating & Drinking,,42.32572375144032,-71.0622261670595
AMC Theatres Boston Common 19,,175 Tremont,Boston,MA,02111,Eating & Drinking w/ Take Out,8164805862.0,42.35314999984945,-71.06403000141228
Amelia's Cluck & Smash,,309 Huntington,Boston,MA,02115,Eating & Drinking w/ Take Out,6172660040.0,42.34119601267993,-71.08765979933939
Amelia's Taqueria,,1076 Boylston,Boston,MA,02115,Eating & Drinking,6173658220.0,42.34695712991131,-71.08795705777361
Amelia's Taqueria,,180 Brighton,Allston,MA,02134,Eating & Drinking w/ Take Out,6177877672.0,42.35299342879339,-71.1337982620439
Amelia's Taqueria III,,1936 Beacon,Brighton,MA,02135,Eating & Drinking,6175056232.0,42.33635335463996,-71.14993156115588
American Airlines Club Boston,,200 Terminal,East Boston,MA,02128,Eating & Drinking,6176345050.0,42.36267734543621,-71.01863498065062
