businessname,dbaname,address,city,state,zip,descript,dayphn_cleaned,latitude,longitude
DUNKIN DONUTS',,800 Boylston,Boston,MA,02199,Eating & Drinking w/ Take Out,9784201220.0,42.34729680482496,-71.0814574594804
DUNKIN' DONUTS,,16 Tremont,Boston,MA,02108,Eating & Drinking w/ Take Out,6174644001.0,42.35908403598115,-71.05952639616407
DUNKIN' DONUTS #0311,,818 Harrison,Roxbury,MA,02118,Eating & Drinking,6172470745.0,42.33472311906037,-71.07348855377451
Dunkin Donuts/1138 Washington St.,,1138 Washington,Roxbury,MA,02118,Eating & Drinking w/ Take Out,6174749937.0,42.343695146907656,-71.06584132702204
Dunkin Donuts (209 North Harvard St.),,209 NORTH HARVARD,ALLSTON,MA,02134,Eating & Drinking w/ Take Out,6172545475.0,42.36258155442228,-71.13070849293052
Dunkin Donuts (219 Cambridge),,219 Cambridge,Allston,MA,02134,Eating & Drinking w/ Take Out,6177871608.0,42.35822500006128,-71.12625600095666
Dunkin Donuts(757 Centre St.),,757 Centre,Jamaica Plain,MA,02130,Eating & Drinking w/ Take Out,6175249420.0,42.3104447328954,-71.11518033964487
Dunkin Donuts (895 Morton St.),,895 Morton,Mattapan,MA,02126,Eating & Drinking w/ Take Out,6175411911.0,42.280440054610864,-71.0841391168082
Dunkin Donuts/Airside,,400 Terminal,East Boston,MA,02128,Eating & Drinking w/ Take Out,6175411911.0,42.36687588332872,-71.02090556665121
DUNKIN DONUTS (ALLSTON),,509 Cambridge,Allston,MA,02134,Eating & Drinking w/ Take Out,6178166882.0,42.35341984383068,-71.1384696227087
Dunkin Donuts-Amer Airlines/Landside,,200 LOGAN AIRPORT TRMNL B,EAST BOSTON,MA,02128,Eating & Drinking w/ Take Out,6175411911.0,,
DUNKIN DONUTS(ARRIVAL),,100 Terminal,East Boston,MA,02128,Eating & Drinking w/ Take Out,6172655800.0,42.364539860564015,-71.02181743285618
Dunkin Donuts at Old Colony,,75 OLD COLONY ,SOUTH BOSTON,MA,02127,Eating & Drinking w/ Take Out,6178280298.0,42.33575489872016,-71.05609084800476
DUNKIN DONUTS BLUE HILL AVE,,456 Blue Hill,Dorchester,MA,02121,Eating & Drinking w/ Take Out,6175411911.0,42.309398959927734,-71.08204035735245
Dunkin' Donuts(C.A. Donuts),,155 Spring,West Roxbury,MA,02132,Eating & Drinking w/ Take Out,,42.27646000018096,-71.16677000159872
Dunkin Donuts (Canal St.),,168 Canal,Boston,MA,02114,Eating & Drinking w/ Take Out,6173888884.0,42.3650160646198,-71.06117955270855
Dunkin Donuts (Causeway St.),,55 Causeway,Boston,MA,02114,Eating & Drinking w/ Take Out,6173675757.0,42.36431000069534,-71.06294000174364
DUNKIN DONUTS (CITY PLACE),,8 Park,Boston,MA,02116,Eating & Drinking w/ Take Out,6172415219.0,42.35188375148756,-71.06699770937043
DUNKIN DONUTS(DEPARTURE),,100 LOGAN AIRPORT TRMNL A,EAST BOSTON,MA,02128,Eating & Drinking w/ Take Out,6172655800.0,,
DUNKIN DONUTS/FIRST DONUTS INC,,100 Legends,Boston,MA,02114,Eating & Drinking w/ Take Out,6176242841.0,,
DUNKIN DONUTS(FRANKLIN),,265 Franklin,Boston,MA,02110,Eating & Drinking w/ Take Out,6172328052.0,42.35650999940216,-71.05332000127466
DUNKIN DONUTS/GALLERIA,,340 Longwood,Boston,MA,02115,Eating & Drinking w/ Take Out,6172328052.0,42.33832798368653,-71.1069593361776
DUNKIN DONUTS @ HAYDEN HALL,,330 HUNTINGTON ,BOSTON,MA,02116,Eating & Drinking w/ Take Out,6172655800.0,,
DUNKIN DONUTS/HYDE PK AVE,,1800 Hyde Park,Hyde Park,MA,02136,Eating & Drinking w/ Take Out,7813952060.0,42.23788369337201,-71.13213251541764
Dunkin Donuts Kiosk,,640 Atlantic,Boston,MA,02111,Eating & Drinking w/ Take Out,6173503194.0,42.35002140648515,-71.05594134771243
Dunkin Donuts @ MBTA Station,,145 Dartmouth,Boston,MA,02116,Eating & Drinking w/ Take Out,6172677153.0,42.3472779181476,-71.07545140055491
Dunkin Donuts North Station,,100 Legends,Boston,MA,02114,Eating & Drinking w/ Take Out,6173674301.0,,
DUNKIN DONUTS/PLAZA ENT,,66 CORNHILL,BOSTON,MA,02114,Eating & Drinking w/ Take Out,6173675757.0,,
DUNKIN DONUTS(SATELLITE),,100 Terminal,East Boston,MA,02128,Eating & Drinking w/ Take Out,6175411911.0,42.364539860564015,-71.02181743285618
DUNKIN DONUTS/SCNVANOS,,440 Massachusetts,Roxbury,MA,02118,Eating & Drinking w/ Take Out,9788981250.0,42.340872887026656,-71.0817695885375
Dunkin Donuts @ Stop & Shop,,1100 MASSACHUSETTS ,DORCHESTER,MA,02124,Eating & Drinking w/ Take Out,6172888361.0,,
Dunkin Donuts (V.F.W. Pkwy.),,1435 V F W ,WEST ROXBURY,MA,02132,Eating & Drinking w/ Take Out,6173253107.0,42.270836102972766,-71.17263962190155
DUNKIN DONUTS/WALDWIN GROUP,,500 Terminal,East Boston,MA,02128,Eating & Drinking w/ Take Out,6175411911.0,42.36990420124479,-71.01943927546833
DUNKIN' DONUTS-WATERMARK,,111 State,Boston,MA,02109,Eating & Drinking w/ Take Out,6172415219.0,42.35903499996539,-71.05482300131247
DUNKIN' DONUTS/WATERMARK,,1 Summer,Boston,MA,02111,Eating & Drinking w/ Take Out,6172415219.0,42.35469999981185,-71.06024000127842
DUNKIN'DONUTS/WATERMARK,,101 Summer,Boston,MA,02111,Eating & Drinking w/ Take Out,6172415219.0,42.35362000071225,-71.05824000098545
DUNKIN DONUTS(WOLCOTT SQ. LLC),,942 Hyde Park,Hyde Park,MA,02136,Eating & Drinking w/ Take Out,6176996069.0,42.26757257202414,-71.11988533452268
DUNKIN/DONUT/WATERMARK,,630 Washington,Boston,MA,02111,Eating & Drinking w/ Take Out,6172328052.0,42.352216163862614,-71.06237926892494
Dunkin Gate C 29,,300 Terminal,East Boston,MA,02128,Eating & Drinking w/ Take Out,6175411911.0,,
Dunkin Gate C Baggage Claim,,300 Terminal,East Boston,MA,02128,Eating & Drinking w/ Take Out,6175411911.0,,
Dunkin/Hudson Gate C25,,300 Terminal,East Boston,MA,02128,Eating & Drinking w/ Take Out,6176346600.0,,
DUNKIN (STATION DONUTS),,4610 Washington,Roslindale,MA,02131,Eating & Drinking w/ Take Out,7813440172.0,42.27518530006842,-71.139560887284
Dunkin (store 1916),,1 Harborside,East Boston,MA,02128,Eating & Drinking w/ Take Out,6175619300.0,42.36340869696607,-71.02569880822675
Dunkin-Term E Airside,,100 Terminal,East Boston,MA,02128,Eating & Drinking w/ Take Out,6175411911.0,42.364539860564015,-71.02181743285618
Durty Nellie's,,108 Blackstone,Boston,MA,02108,Eating & Drinking,6177422090.0,42.36167999989074,-71.05655000090367
Dynasty,,14 Hudson,Boston,MA,02111,Eating & Drinking,6172931177.0,42.35062099958602,-71.05990300113616
Eagle Hill Cafe,,65 Meridian,East Boston,MA,02128,Eating & Drinking w/ Take Out,8572044619.0,42.37187186225084,-71.03877917564566
Eagles Deli,,1918 BEACON,BRIGHTON,MA,02135,Eating & Drinking,6177313232.0,,
Earl's Kitchen and Bar,,800 Boylston,Boston,MA,02199,Eating & Drinking,4168367518.0,42.34729680482496,-71.0814574594804
EASTERN STANDARD,,775 Beacon,Boston,MA,02215,Eating & Drinking,9786216202.0,42.347397458526494,-71.10143618878206
East Roof Production Kitchen,,2597 Beacon,Brighton,MA,02135,Eating & Drinking w/ Take Out,6175523307.0,42.33528927232475,-71.16749169530911
Eataly 1St. Floor,,800 Boylston,Boston,MA,02199,Eating & Drinking w/ Take Out,,42.34729680482496,-71.0814574594804
Eat Well Meal Kits,,196 Quincy,Dorchester,MA,02125,Eating & Drinking w/ Take Out,6317669354.0,42.31306866790966,-71.07391936327326
Eddie Merlot's,,505 Congress,Boston,MA,02210,Eating & Drinking,8572335009.0,42.34803763895181,-71.04119561209795
EF Boston School,,200 Lake,Brighton,MA,02135,Eating & Drinking,,42.34714989583353,-71.1632297605488
Effie's Kitchen,,37 Poplar,Roslindale,MA,02131,Eating & Drinking w/ Take Out,6179534825.0,42.28609802861665,-71.12901836322067
EGLESTON PIZZA,,3080 Washington,Roxbury,MA,02119,Eating & Drinking w/ Take Out,7813200097.0,42.31544999951652,-71.098410002044
El Barco,,50 Dalton,Boston,MA,02115,Eating & Drinking,6178679955.0,42.34706500048197,-71.08564300079891
El Barrio Mexican Grill,,1782 Dorchester,Dorchester,MA,02124,Eating & Drinking w/ Take Out,6172821656.0,42.2897400001862,-71.06296000162055
El Barrio Mexican Grill,,809 Harrison,Roxbury,MA,02118,Eating & Drinking w/ Take Out,6179555327.0,42.3358149999299,-71.07426100064525
El Centro,,474 SHAWMUT ,BOSTON,MA,02118,Eating & Drinking w/ Take Out,6172625708.0,42.33857378274488,-71.07590007539787
EL CHALAN,,405 Chelsea,East Boston,MA,02128,Eating & Drinking w/ Take Out,7813892987.0,42.37976699941086,-71.02700000178831
El Dugout,,122 Seaver,Dorchester,MA,02121,Eating & Drinking w/ Take Out,6174425515.0,42.309920000405405,-71.09152000138941
Element Boston Seaport Hotel Rise,,391 D,Boston,MA,02210,Eating & Drinking,6175301600.0,42.342880863545005,-71.04539518146099
ELEMENTS CAFE & CONFERENCE,,77 Avenue Louis Pasteur,Boston,MA,02115,Eating & Drinking,6174326169.0,42.33844000057355,-71.10279000143157
Elephant & Castle Pub and Restaurant,,161 Devonshire,Boston,MA,02110,Eating & Drinking,6173509977.0,42.35628619450914,-71.05750069300915
Elephantine Bakery,,332 Congress,Boston,MA,02210,Eating & Drinking,,42.351130000435646,-71.04919000184769
Elevated Eats Pro - Lower Level,,32 Cambridge,Charlestown,MA,02129,Eating & Drinking w/ Take Out,6177180188.0,42.383569999309664,-71.0743500017016
El Jardin,,15 William C Kelly,East Boston,MA,02128,Eating & Drinking,6175696508.0,42.374629999997794,-71.03878000125569
El Jefe's Taqueria,,80 Boylston,Boston,MA,02116,Eating & Drinking,6179394546.0,42.35222576580822,-71.06490969394378
El Jefe's Taqueria,,957 Commonwealth,Boston,MA,02215,Eating & Drinking,,42.3519100000067,-71.11889000180513
El Jefe's Taqueria of Boston Common,,139 Tremont,Boston,MA,02116,Eating & Drinking w/ Take Out,6179363610.0,42.35542682956729,-71.06382668449932
El Jefe's Taqueria of Kenmore Sq.,,533 Commonwealth,Boston,MA,02215,Eating & Drinking,6176440126.0,42.349177847537035,-71.09657515521376
El Jefe's Taqueria of Northeastern,,269 Huntington,Boston,MA,02115,Eating & Drinking,6176695955.0,42.3421787881163,-71.08624039406656
EL MONDONGUITO,,219 Dudley,Roxbury,MA,02119,Eating & Drinking,6175223672.0,42.32838325308689,-71.08067980677957
El Palmar Restaurant,,290 Bennington,East Boston,MA,02128,Eating & Drinking w/ Take Out,6175698600.0,42.37901800029539,-71.02859000032772
El Parche Tapa Bar & Restaurant,,636 Bennington,East Boston,MA,02128,Eating & Drinking,,42.38386799948877,-71.0155610012138
El Paso Enchiladas,,1 FANEUIL HALL MKT PL,BOSTON,MA,02109,Eating & Drinking w/ Take Out,6175300365.0,42.36002999999229,-71.0562400012183
El Pelon,,2193 Commonwealth,Brighton,MA,02135,Eating & Drinking w/ Take Out,,42.34029399999809,-71.16640500100479
EL PENOL RESTAURANT,,54 Bennington,East Boston,MA,02128,Eating & Drinking,6175690100.0,42.375798698219306,-71.0371015649033
El Recreo Coffee & Roastene,,1872 Centre,West Roxbury,MA,02132,Eating & Drinking w/ Take Out,6177557018.0,42.285756706792384,-71.1553963845278
El Rey Del Pollo Restautant,,109 Blue Hill,Roxbury,MA,02119,Eating & Drinking w/ Take Out,6176528172.0,42.32123500042446,-71.07770100116797
El Rinconcito,,226 Sumner,East Boston,MA,02128,Eating & Drinking w/ Take Out,6175680028.0,42.36875216055166,-71.03900010369335
El Sonorense Boston - K124,,94 Shirley,Roxbury,MA,02119,Eating & Drinking w/ Take Out,6175380022.0,42.32448468232285,-71.07021644447491
El Triunfo Restaurant / Ali Baba,,147 Berkeley,Roxbury,MA,02118,Eating & Drinking,6175428499.0,42.34351310644978,-71.06478584223925
Emack & Bolio's,,1 Chelsea,Charlestown,MA,02129,Eating & Drinking w/ Take Out,6172322753.0,42.371175459805414,-71.061385413516
Emack & Bolio's,,290 Newbury,Boston,MA,02115,Eating & Drinking w/ Take Out,,42.34881999998288,-71.08456000157048
Embassy Suites Boston Kiosk,,207 Porter,East Boston,MA,02128,Eating & Drinking w/ Take Out,6175675000.0,42.37023460850389,-71.03186818641332
Embassy Suites @Logan Airport,,207 Porter,East Boston,MA,02128,Eating & Drinking,6175675000.0,42.37023460850389,-71.03186818641332
EMC CLUB,,4 Jersey,Boston,MA,02215,Eating & Drinking,6175366683.0,42.346768333561606,-71.09864788266272
EMC Inseat,,4 Jersey,Boston,MA,02215,Eating & Drinking w/ Take Out,,42.34673007807398,-71.0986629781914
Emirates Lounge,,500 Terminal,East Boston,MA,02128,Eating & Drinking,9149355310.0,42.36990420124479,-71.01943927546833
Emmanuel College,,400 FENWAY,BOSTON,MA,02115,Eating & Drinking,7359905.0,42.34162000000249,-71.1040000012267
Emmanuel College (Muddy River Cafe),,400 FENWAY,BOSTON,MA,02115,Eating & Drinking,6177359952.0,42.34162000000249,-71.1040000012267
EMMETS/ROXANNE'S,,6 Beacon,Boston,MA,02108,Eating & Drinking,6177428565.0,42.357990000384234,-71.06161000183253
Emmi Bakery and Cafe,,1 Chelsea,Charlestown,MA,02129,Eating & Drinking,6179387258.0,42.371175459805414,-71.061385413516
EMPIRE GARDEN,,686 Washington,Boston,MA,02111,Eating & Drinking,6173099695.0,42.35128644337699,-71.0627264506997
Empire Restaurant,,1 Marina Park,Boston,MA,02210,Eating & Drinking,6172950001.0,,
Energize,,1930 Beacon,Brighton,MA,02135,Eating & Drinking w/ Take Out,7812907769.0,42.336380000041935,-71.14983000081735
Energize,,265 Massachusetts,Boston,MA,02115,Eating & Drinking,7812907769.0,42.3438199997461,-71.08646000172585
Energize,,610 Washington,Brighton,MA,02135,Eating & Drinking,7812907769.0,42.35044000068933,-71.16784000171793
Equis Pica Pollo,,600 Blue Hill,Dorchester,MA,02121,Eating & Drinking w/ Take Out,6175168313.0,42.303724994086366,-71.08471089976244
Erich Lindemann Mental Health Center,,25 Staniford,Boston,MA,02114,Eating & Drinking,6176268700.0,42.362112347478465,-71.06349972763918
Erie Pub,,791 Adams,Dorchester,MA,02124,Eating & Drinking,6174360088.0,42.28315999980526,-71.05602000071734
Ernestos Pizza,,69 Salem,Boston,MA,02113,Eating & Drinking,6175231373.0,42.36334999978006,-71.0558400019792
Esperia Grill & Rotisserie,,344 Washington,Brighton,MA,02135,Eating & Drinking w/ Take Out,6172548337.0,42.3488457515683,-71.15291352966601
Espresso Love Cafe,,33 Broad,Boston,MA,02109,Eating & Drinking,5122933546.0,42.35842999980477,-71.05450000038914
Essential Herb & Juice Cafe,,501B Washington,Dorchester,MA,02124,Eating & Drinking w/ Take Out,6175068302.0,42.294107315050475,-71.07212862490132
Estella,,49 Temple,Boston,MA,02111,Eating & Drinking,6179800495.0,42.354863733458814,-71.06184347059988
Esthetic Bean,,16 Preble,South Boston,MA,02127,Eating & Drinking w/ Take Out,6173157263.0,42.329597492476445,-71.05636766404474
Estragon,,700 Harrison,BOSTON,MA,02118,Eating & Drinking,7817715498.0,42.33835999999864,-71.07029000122076
ETHEL & ANDY'S SUB SHOP,,134 K,South Boston,MA,02127,Eating & Drinking w/ Take Out,6172699775.0,42.3382329845424,-71.03733937150112
Ethiopian Cafe,,377 Centre,Jamaica Plain,MA,02130,Eating & Drinking,6173196971.0,42.32237676532191,-71.10912920910026
Ethiopian Cafe & Pizza,,150 Dudley,Roxbury,MA,02119,Eating & Drinking,,42.32883428071313,-71.08320712014829
Etnias Bar and Grill,,145 Meridian,East Boston,MA,02128,Eating & Drinking,6178748336.0,42.37368999985251,-71.0388730007549
EUGENE O' NEILLS,,3700 Washington,Jamaica Plain,MA,02130,Eating & Drinking,6175532492.0,42.300529999983986,-71.11280900137946
Eurest @ Delta Sky Club,,500 Terminal,East Boston,MA,02128,Eating & Drinking,4044674085.0,42.36990420124479,-71.01943927546833
Eurest @ Griffith Properties,,20 Guest,Brighton,MA,02135,Eating & Drinking w/ Take Out,7043281190.0,42.357610681691206,-71.14650138405605
Eurest @ WBZ Cafe,,1170 Soldiers Field,Allston,MA,02134,Eating & Drinking,6177877070.0,42.364859999293046,-71.13337000128128
EVA,,279A Newbury,Boston,MA,02115,Eating & Drinking,,42.34924155623669,-71.08444872256098
Evan To Go,,411 Adams,Dorchester,MA,02122,Eating & Drinking w/ Take Out,6173316530.0,42.29524000004129,-71.0564000012828
Eventide Fenway,,1321 Boylston,Boston,MA,02215,Eating & Drinking,,42.34443605976116,-71.09908410812845
Evergreen Eatery,,154 Green,Jamaica Plain,MA,02130,Eating & Drinking,6176765489.0,42.31048097677929,-71.10675155999017
F1 Arcade,,113 Seaport,Boston,MA,02210,Eating & Drinking,6176753131.0,42.350884686367415,-71.04459809425383
Faccia a Faccia,,278 Newbury,Boston,MA,02116,Eating & Drinking,,42.34905999972493,-71.0836500016905
Fairmont Copley Plaza,,138 Saint James,Boston,MA,02116,Eating & Drinking,6172675300.0,42.34921000010745,-71.07624000104651
Falafel King II,,262 Washington,Boston,MA,02109,Eating & Drinking w/ Take Out,6172276400.0,42.35774000019551,-71.05784000098464
Falafel King I I I,,62 Summer,Boston,MA,02110,Eating & Drinking,6178692741.0,42.35431999988238,-71.05862100104237
Fan Fan Restaurant,,15 Harvard,Hyde Park,MA,02136,Eating & Drinking,6173641390.0,42.25638100060899,-71.12201700159585
Farmer Horse Coffee,,374 Massachusetts,Boston,MA,02115,Eating & Drinking w/ Take Out,7815709061.0,42.342069999921264,-71.08349000167735
Farmhouse Cafe,,1 FRANKLIN PARK,BOSTON,MA,02122,Eating & Drinking w/ Take Out,6179892007.0,,
Far Out Ice Cream,,201 Brookline,Boston,MA,02215,Eating & Drinking w/ Take Out,6174878102.0,42.34486239691058,-71.10160474147757
Fasika Cafe,,51 Roxbury,Roxbury,MA,02119,Eating & Drinking,6174276300.0,42.3297099999324,-71.08546000095315
Fat Baby Sushi,,116 Dorchester,South Boston,MA,02127,Eating & Drinking,6172246602.0,42.33503000035357,-71.04619000172099
Felcaro Pizzeria,,276 Cambridge,Boston,MA,02114,Eating & Drinking,6177420011.0,42.36094900039029,-71.06801300116925
Fenway Grill & Bar,,84 Peterborough,Boston,MA,02215,Eating & Drinking w/ Take Out,6175301778.0,42.343077111885144,-71.09911010660659
Fenway Johnnie's,,96 Brookline,Boston,MA,02215,Eating & Drinking,6179363098.0,42.34611999958231,-71.09929000148196
Fenway Park-Aura Club,,4 Jersey,Boston,MA,02215,Eating & Drinking,6175366683.0,42.346768333561606,-71.09864788266272
Fenway Theater-L2 (Club Kitchen),,2 Lansdowne,Boston,MA,02215,Eating & Drinking,6179825146.0,42.34697798763885,-71.0949430020345
Fete Restaurant and Lounge,,23 Kingston,Boston,MA,02111,Eating & Drinking,6179364151.0,42.35373218525964,-71.05923084011631
Fidelity 245 Cafe,,245 Summer,Boston,MA,02111,Eating & Drinking,6172267525.0,42.35139500051561,-71.05385200185539
Fidelity Beanery,,245 Summer,Boston,MA,02111,Eating & Drinking,6172267525.0,42.35139500051561,-71.05385200185539
Fido Pizza,,250 Western,Allston,MA,02134,Eating & Drinking,,42.3631219162338,-71.13299699159195
FIGARO'S BOSTON DELICATESSEN,,105 Beach,Boston,MA,02111,Eating & Drinking w/ Take Out,6174262121.0,42.350710000135734,-71.05826000159666
Filipino Asian Cuisine,,71 Broad,Boston,MA,02109,Eating & Drinking w/ Take Out,6173917013.0,42.35768000009901,-71.05376000125408
FILIPPO'S,,283 Causeway,Boston,MA,02113,Eating & Drinking,6177424143.0,42.36696331777658,-71.05818088145473
FILL A BUSTER,,130 Bowdoin,Boston,MA,02108,Eating & Drinking w/ Take Out,5238164.0,42.35857000038995,-71.06258000159579
FINAGLE-A-BAGEL,,535 Boylston,Boston,MA,02116,Eating & Drinking w/ Take Out,6172138400.0,42.350871226531446,-71.07558962764519
Finns Fusion Cuisine,,1187 Blue Hill,Mattapan,MA,02126,Eating & Drinking w/ Take Out,,42.28380999979143,-71.09192000081293
FIN'S SUSHI & GRILL,,240 Cambridge,Boston,MA,02114,Eating & Drinking,6176695420.0,42.36098677310064,-71.06685856815649
Fins Sushi & Grill  Inc.,,354 Chestnut Hill,Brighton,MA,02135,Eating & Drinking w/ Take Out,6177310018.0,42.33684243669026,-71.15151611427619
FIRE & ICE,,31 Saint James,Boston,MA,02116,Eating & Drinking,6174823473.0,42.35086717736054,-71.07188451925856
First Baptist Church in Jamaica Plain,,633 Centre,Jamaica Plain,MA,02130,Eating & Drinking,6175243992.0,,
First Watch#1180,,777 Boylston,Boston,MA,02116,Eating & Drinking,,42.349169860800934,-71.08132480568739
FISHER COLLEGE,,118 Beacon,Boston,MA,02116,Eating & Drinking,8009998989.0,42.35524544523841,-71.074132163319
Fisherman's Net,,300 FANEUIL HALL MARKET,BOSTON,MA,02109,Eating & Drinking w/ Take Out,7814750361.0,,
Fiskie's Cafe,,27 Harbor Point,Dorchester,MA,02125,Eating & Drinking,6172828288.0,42.31888450711614,-71.04227685355734
Five Guys,,1213 Commonwealth,Allston,MA,02134,Eating & Drinking,6172086236.0,42.350810000181944,-71.13072400072336
Five Guys,,263 Huntington,Boston,MA,02115,Eating & Drinking,6172086236.0,42.34225000003425,-71.08614000084735
Five Guys,,58 Summer,Boston,MA,02110,Eating & Drinking,6172086236.0,42.35438999969426,-71.05871000146233
Five Horses Tavern,,535 Columbus,Roxbury,MA,02118,Eating & Drinking,6177641655.0,42.34185635914864,-71.0805609330502
Five Iron Golf,,1 Washington Mall,Boston,MA,02108,Eating & Drinking,,,
Five Iron Golf,,311 Summer,Boston,MA,02210,Eating & Drinking,,42.3493299995599,-71.04900000121508
Five Spices House,,58 Beach,Boston,MA,02111,Eating & Drinking,6175748888.0,42.351479999606745,-71.060450001381
Five Star Pizza,,616 Gallivan,Dorchester,MA,02122,Eating & Drinking w/ Take Out,6178255554.0,42.28359999993004,-71.0507400007223
FLAMES RESTAURANT,,1 Peabody,Dorchester,MA,02124,Eating & Drinking,6175949827.0,42.286110000021154,-71.06369000103135
FLAMES RESTAURANT,,663 Morton,Mattapan,MA,02126,Eating & Drinking w/ Take Out,6175949827.0,42.28521000013621,-71.0933100007878
FLAMES RESTAURANT,,746 Huntington,Mission Hill,MA,02120,Eating & Drinking w/ Take Out,6175949827.0,42.333629992135506,-71.1054912685293
FLAMES RESTAURANT III  INC.,,469 BLUE HILL ,DORCHESTER,MA,02121,Eating & Drinking w/ Take Out,6175949827.0,42.30989292896117,-71.08204818700601
Flaming Grill & Buffet,,950 American Legion,Hyde Park,MA,02136,Eating & Drinking,9172933237.0,42.27499294747374,-71.11477965533017
FLAT BLACK COFFEE CO. LTD.,,1170 Washington,Dorchester,MA,02124,Eating & Drinking w/ Take Out,6177315482.0,42.27241233522019,-71.06833989317673
Flavor Boom,,30 Batterymarch,Boston,MA,02109,Eating & Drinking w/ Take Out,7868100221.0,42.357579648000915,-71.0538260659889
Flavor Boom,,703 Centre,Jamaica Plain,MA,02130,Eating & Drinking w/ Take Out,6177441216.0,42.311529999973025,-71.11463000176256
Flight Club,,60 Seaport,Boston,MA,02210,Eating & Drinking,8573025558.0,42.35284399364106,-71.04709889448148
Flik@Foley Hoag 13th Floor Cafe,,155 Seaport,Boston,MA,02210,Eating & Drinking,4017864593.0,42.34967033087804,-71.04280854214417
Flik @ Goodwin Proctor,,100 Northern,Boston,MA,02210,Eating & Drinking,6175265403.0,42.35223926109794,-71.04353645387097
Flik International @ Merck & Co.,,33 Avenue Louis Pasteur,Boston,MA,02115,Eating & Drinking w/ Take Out,6179922274.0,42.33976900080576,-71.10325900165041
Flik International @VCGT,,316 Northern,Boston,MA,02210,Eating & Drinking,6173566091.0,42.345764107161614,-71.03203868500277
Flik @ Kirkland & Ellis,,200 Clarendon,Boston,MA,02116,Eating & Drinking,6172267525.0,42.34921000046016,-71.07513000164919
Flik @ One Lincoln Club 1st Fl.,,1 Lincoln,Boston,MA,02111,Eating & Drinking,9783042911.0,42.35288599964905,-71.05869500042084
Flik @ Putnam Investments,,100 Federal,Boston,MA,02110,Eating & Drinking,6175265403.0,42.354770000088834,-71.0561300019333
Flik @ Skadden  Arps  Slate,,500 Boylston,Boston,MA,02116,Eating & Drinking,6172267525.0,42.35053000034381,-71.07390000167878
Flik @ Willmer Hale Cafe,,60 State,Boston,MA,02109,Eating & Drinking w/ Take Out,6175265403.0,42.359270000101496,-71.05643000032522
FLORENTINE CAFFE,,333 Hanover,Boston,MA,02113,Eating & Drinking,6172277606.0,42.364326098113935,-71.05370561631223
Florenza,,164 Sumner,East Boston,MA,02128,Eating & Drinking,,42.36953229149838,-71.04082761745583
FLORIAN RESTAURANT,,55 Hallet,Dorchester,MA,02124,Eating & Drinking,6172886666.0,42.282376293642336,-71.04765865173803
Florina Restaurant,,16 Derne,Boston,MA,02114,Eating & Drinking w/ Take Out,6178230584.0,42.35951951773482,-71.06344983806821
Flour Bakery,,209 Cambridge,Boston,MA,02114,Eating & Drinking,6179034352.0,42.361366583168085,-71.06656306425441
Flour Bakery & Cafe,,12 Farnsworth,Boston,MA,02210,Eating & Drinking w/ Take Out,6173384333.0,42.3513700000515,-71.04881000137983
Flour Bakery + Cafe,,1B Charles,Boston,MA,02116,Eating & Drinking w/ Take Out,6179034352.0,42.35429009332041,-71.06641976254919
FLOUR BAKERY & CAFE,,131 Clarendon,Boston,MA,02116,Eating & Drinking,,42.348390000046535,-71.07384000134216
FLOUR BAKERY & CAFE,,1595 Washington,Roxbury,MA,02118,Eating & Drinking w/ Take Out,6172674300.0,42.338323049728295,-71.07488090507623
FLOUR BAKERY & CAFE,,1618 Tremont,Mission Hill,MA,02120,Eating & Drinking,,42.33335190286622,-71.10442045552743
FLOUR BAKERY & CAFE,,19 Dry Dock,Boston,MA,02210,Eating & Drinking,6179034352.0,42.344264320485664,-71.03300745731984
FLOUR BAKERY & CAFE,,30 Dalton,Boston,MA,02115,Eating & Drinking,6179034352.0,42.345918020270254,-71.08458216236195
FMI Cafe - 6th Fl. Main Kitchen,,370 Summer,Boston,MA,02210,Eating & Drinking,3126626539.0,42.34883326892876,-71.0466208311902
FMI Cafe - Coffee Bar,,370 Summer,Boston,MA,02210,Eating & Drinking w/ Take Out,3126626539.0,42.34883326892876,-71.0466208311902
Fogo de Chao - Churrascaria,,10 Huntington,Boston,MA,02116,Eating & Drinking,,42.34854500042617,-71.07731400127675
Folio @ The Boston Athenaeum,,14 Beacon,Boston,MA,02108,Eating & Drinking,,42.35786099952289,-71.06235600115457
Fomu Ice Cream,,140 Brookline,Boston,MA,02215,Eating & Drinking w/ Take Out,,42.34492377823661,-71.10068662211538
Fomu Ice Cream,,200 Faneuil Hall Marketplace,Boston,MA,02109,Eating & Drinking w/ Take Out,,42.36019981607993,-71.05479820374326
Food 4 Thought Cafe,,145 Harrison,Boston,MA,02111,Eating & Drinking,6179099143.0,42.349909677665366,-71.06199938475564
Food Opera,,81 Essex,Boston,MA,02111,Eating & Drinking,,42.35241000028063,-71.06026000076038
FOOD WALL CHINESE,,387 Centre,Jamaica Plain,MA,02130,Eating & Drinking w/ Take Out,6175246636.0,42.32228000004457,-71.10956000109229
Forcella,,33 North,Boston,MA,02113,Eating & Drinking,8572770870.0,42.363484467076816,-71.05384726248151
Ford Clubhouse,,4 Jersey,Boston,MA,02215,Eating & Drinking,6175366683.0,42.346768333561606,-71.09864788266272
