"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Gini Index of Income Inequality","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","igini","TimeFrame","GeoVintage","Source","Location"
"Census Tract","25025051000","MA","25025051000","=""25025051000""","0.50","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025051101","MA","25025051101","=""25025051101""","0.42","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025051200","MA","25025051200","=""25025051200""","0.39","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025060101","MA","25025060101","=""25025060101""","0.39","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025060200","MA","25025060200","=""25025060200""","0.43","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025060301","MA","25025060301","=""25025060301""","0.41","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025060400","MA","25025060400","=""25025060400""","0.41","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025060501","MA","25025060501","=""25025060501""","0.39","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025060601","MA","25025060601","=""25025060601""","0.36","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025060602","MA","25025060602","=""25025060602""","0.36","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025060603","MA","25025060603","=""25025060603""","0.43","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025060604","MA","25025060604","=""25025060604""","0.48","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025060700","MA","25025060700","=""25025060700""","0.44","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025060800","MA","25025060800","=""25025060800""","0.44","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025061000","MA","25025061000","=""25025061000""","0.60","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025061101","MA","25025061101","=""25025061101""","0.61","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025061201","MA","25025061201","=""25025061201""","0.47","2019-2023","2022","Census","Boston (City, 2020)"
